Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1894,439.8,NSW,Iron Ore,,4.8275E-07
1951,449.3,TAS,Gold,0.495336935,7.85396E-05
1917,450.8,TAS,Gold,0.497051378,7.88115E-05
1892,460.4,NSW,Iron Ore,,5.05332E-07
1886,462.3,NT,Gold,0.50966968,8.08122E-05
1890,462.6,NSW,Iron Ore,,5.07729E-07
1899,465.4,NT,Gold,0.513098567,8.13559E-05
1947,468.1,TAS,Gold,0.516081698,8.18289E-05
1979,471.0,NSW,Gold,0.519294377,8.23383E-05
1948,472.4,NT,Gold,0.52084785,8.25846E-05
1946,477.8,TAS,Gold,0.526745535,8.35197E-05
1950,484.5,TAS,Gold,0.534151929,8.46941E-05
1916,491.1,TAS,Gold,0.541421169,8.58467E-05
1937,491.6,NT,Gold,0.542038368,8.59445E-05
1889,496.9,NSW,Iron Ore,,5.45366E-07
1900,497.3,NT,Gold,0.548278942,8.6934E-05
1952,499.8,TAS,Gold,0.551090628,8.73798E-05
1976,502.0,NSW,Gold,0.553472988,8.77576E-05
1887,503.5,NT,Gold,0.555171003,8.80268E-05
1903,511.1,NT,Gold,0.563468908,8.93425E-05
1927,514.1,QLD,Iron Ore,,5.64268E-07
1927,514.1,VIC,Iron Ore,,5.64268E-07
1902,514.9,NT,Gold,0.567686439,9.00112E-05
1979,515.0,QLD,Gold,0.567805954,9.00302E-05
1885,515.5,NT,Gold,0.568406505,9.01254E-05
1939,515.8,NT,Gold,0.568715105,9.01743E-05
1944,517.9,TAS,Gold,0.571012459,9.05386E-05
1955,525.0,TAS,Gold,0.578864609,9.17836E-05
1887,527.2,SA,Gold,0.58123054,9.21587E-05
1953,528.3,TAS,Gold,0.582499228,9.23599E-05
1956,532.8,TAS,Gold,0.587402536,9.31374E-05
1943,536.3,TAS,Gold,0.591311466,9.37572E-05
1936,547.4,TAS,Gold,0.603484013,9.56872E-05
1890,555.6,TAS,Gold,0.612604851,9.71334E-05
1904,556.6,SA,Gold,0.613702095,9.73074E-05
1927,560.8,NSW,Gold,0.618296803,9.80359E-05
1883,565.2,NT,Gold,0.623131533,9.88025E-05
1884,570.6,NT,Gold,0.629132084,9.97539E-05
1942,570.8,TAS,Gold,0.629303528,9.97811E-05
1980,573.0,NSW,Gold,0.631753032,0.000100169
1915,576.8,TAS,Gold,0.635955568,0.000100836
1880,578.6,NT,Gold,0.637910033,0.000101146
1982,579.0,QLD,Gold,0.638368247,0.000101218
1924,581.1,NSW,Gold,0.640687431,0.000101586
1958,581.8,NSW,Gold,0.641510364,0.000101717
1923,585.7,NSW,Gold,0.645762183,0.000102391
1941,586.8,NT,Gold,0.646996582,0.000102586
1981,587.0,NSW,Gold,0.647188534,0.000102617
1882,591.0,NT,Gold,0.65159129,0.000103315
1890,591.4,NT,Gold,0.652037045,0.000103386
1897,594.0,NT,Gold,0.654883021,0.000103837
1896,594.5,NT,Gold,0.655465932,0.000103929
1940,596.2,TAS,Gold,0.657351819,0.000104228
1965,598.6,VIC,Gold,0.659923484,0.000104636
1954,602.3,TAS,Gold,0.664106725,0.000105299
1925,604.0,NSW,Gold,0.665958324,0.000105593
1926,604.4,NSW,Gold,0.666404079,0.000105664
1978,607.0,QLD,Gold,0.66923925,0.000106113
1864,609.8,QLD,Gold,0.672370342,0.00010661
1982,610.0,NSW,Gold,0.672546858,0.000106638
1931,611.8,NSW,Gold,0.674564829,0.000106958
1941,619.1,TAS,Gold,0.682622712,0.000108235
1898,620.5,NT,Gold,0.684097133,0.000108469
1939,621.5,TAS,Gold,0.685228666,0.000108648
1901,621.8,TAS,Iron Ore,,6.82474E-07
1995,622.4,TAS,Gold,0.686231098,0.000108807
1957,622.8,TAS,Gold,0.686703087,0.000108882
1866,626.4,QLD,Gold,0.690680595,0.000109513
1937,630.6,TAS,Gold,0.695241014,0.000110236
1890,634.5,WA,Gold,0.699561411,0.000110921
1901,647.3,NT,Gold,0.713722712,0.000113166
1966,653.3,VIC,Gold,0.720237596,0.000114199
1964,661.9,VIC,Gold,0.72980419,0.000115716
1959,664.1,TAS,Gold,0.732170121,0.000116091
1983,673.0,NSW,Gold,0.742006615,0.000117651
1980,675.0,QLD,Gold,0.744211687,0.000118001
1958,676.2,TAS,Gold,0.745577067,0.000118217
1937,677.7,NSW,Iron Ore,,7.43808E-07
1865,680.5,QLD,Gold,0.750240353,0.000118957
1938,690.4,TAS,Gold,0.761212789,0.000120696
2021,694.0,TAS,Gold,0.765207174,0.00012133
1940,697.4,NT,Gold,0.768859206,0.000121909
1891,722.6,NT,Gold,0.796736053,0.000126329
1932,723.5,QLD,Gold,0.797661852,0.000126476
1917,724.4,SA,Coal,,2.23773E-06
1878,732.2,TAS,Gold,0.807228445,0.000127993
1960,746.2,TAS,Gold,0.822727012,0.00013045
1869,750.0,SA,Gold,0.826901874,0.000131112
1930,750.1,VIC,Gold,0.82701312,0.00013113
1895,752.5,NT,Gold,0.829687652,0.000131554
1991,763.0,SA,Gold,0.84123484,0.000133385
1963,767.2,VIC,Gold,0.845837707,0.000134114
1922,784.4,NSW,Gold,0.864833738,0.000137126
1893,791.7,NT,Gold,0.872857332,0.000138399
1892,799.5,NT,Gold,0.881429548,0.000139758
1854,800.0,SA,Gold,0.882028666,0.000139853
1894,802.6,NT,Gold,0.884892723,0.000140307
1961,815.7,VIC,Gold,0.899362624,0.000142601
1914,816.2,TAS,Gold,0.899842668,0.000142677
1929,817.2,VIC,Gold,0.900939912,0.000142851
1881,819.6,NT,Gold,0.903648732,0.000143281
1953,822.9,NSW,Gold,0.907317641,0.000143862
1870,830.0,SA,Gold,0.915104741,0.000145097
1961,836.1,TAS,Gold,0.921856119,0.000146168
1891,843.3,WA,Gold,0.929776847,0.000147424
1853,850.0,SA,Gold,0.937155458,0.000148593
1871,850.0,SA,Gold,0.937155458,0.000148593
1886,858.5,TAS,Gold,0.946475524,0.000150071
1932,869.0,NSW,Gold,0.95806516,0.000151909
1889,876.4,TAS,Gold,0.966260198,0.000153208
1962,878.9,VIC,Gold,0.969071885,0.000153654
1960,888.4,VIC,Gold,0.9794957,0.000155307
1990,890.0,SA,Gold,0.981256891,0.000155586
1956,896.3,NSW,Gold,0.988239361,0.000156693
1933,909.7,NSW,Gold,1.003017861,0.000159036
1949,926.2,NT,Gold,1.02115667,0.000161913
1955,935.1,NSW,Gold,1.030963286,0.000163467
1955,938.8,QLD,Iron Ore,,1.0304E-06
1955,938.8,VIC,Iron Ore,,1.0304E-06
1986,961.0,NSW,Gold,1.059536935,0.000167998
1985,962.0,VIC,Gold,1.060639471,0.000168173
1957,965.4,NSW,Gold,1.064429217,0.000168774
1911,967.2,TAS,Gold,1.066417971,0.000169089
1954,975.7,NSW,Gold,1.075778831,0.000170573
1946,995.5,NSW,Gold,1.09755226,0.000174026
1962,998.8,TAS,Gold,1.10118688,0.000174602
1958,1011.9,QLD,Iron Ore,,1.11069E-06
1958,1011.9,VIC,Iron Ore,,1.11069E-06
1965,1023.1,TAS,Gold,1.128000772,0.000178854
1893,1034.7,TAS,Gold,1.140824807,0.000180887
